Taxonomic Code,Highest common category,Division or Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Species,ITIS Code,Common Name
PEFR2                                                                                                                                                                                                   ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Liliopsida                                                                                                                                                                                              ,Asteridae                                                                                                                                                                                               ,Asterales                                                                                                                                                                                               ,,Asteraceae                                                                                                                                                                                              ,,Petasites                                                                                                                                                                                               ,Petasites frigidus                                                                                                                                                                                      ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36054 ' target='_blank'>36054</a>,arctic sweet coltsfoot                            
PICEA                                                                                                                                                                                                   ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Picea                                                                                                                                                                                                   ,,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18033 ' target='_blank'>18033</a>,spruce                                            
PIEN                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Picea                                                                                                                                                                                                   ,Picea engelmannii                                                                                                                                                                                       ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183291 ' target='_blank'>183291</a>,Engelmann spruce                                  
PISI                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Picea                                                                                                                                                                                                   ,Picea sitchensis                                                                                                                                                                                        ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183309 ' target='_blank'>183309</a>,Sitka spruce                                      
PICO                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Pinus                                                                                                                                                                                                   ,Pinus contorta                                                                                                                                                                                          ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183327 ' target='_blank'>183327</a>,lodgepole pine                                    
PIFL                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Pinus                                                                                                                                                                                                   ,Pinus flexilis                                                                                                                                                                                          ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183343 ' target='_blank'>183343</a>,limber pine                                       
PILA                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Pinus                                                                                                                                                                                                   ,Pinus lambertiana                                                                                                                                                                                       ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183347 ' target='_blank'>183347</a>,sugar pine                                        
PIMO                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Pinus                                                                                                                                                                                                   ,Pinus monticola                                                                                                                                                                                         ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26069 ' target='_blank'>26069</a>,western white pine                                
PIPO                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Pinus                                                                                                                                                                                                   ,Pinus ponderosa                                                                                                                                                                                         ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183346 ' target='_blank'>183346</a>,ponderosa pine                                    
POBA2                                                                                                                                                                                                   ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Dilleniidae                                                                                                                                                                                             ,Salicales                                                                                                                                                                                               ,,Salicaceae                                                                                                                                                                                              ,,Populus                                                                                                                                                                                                 ,Populus balsamifera                                                                                                                                                                                     ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22453 ' target='_blank'>22453</a>,balsam poplar                                     
POTR                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Dilleniidae                                                                                                                                                                                             ,Salicales                                                                                                                                                                                               ,,Salicaceae                                                                                                                                                                                              ,,Populus                                                                                                                                                                                                 ,Populus tremuloides                                                                                                                                                                                     ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=195773 ' target='_blank'>195773</a>,quaking aspen                                     
