Taxonomic Code,Highest common category,Division or Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Species,ITIS Code,Common Name
DRGL                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Rosidae                                                                                                                                                                                                 ,Euphorbiales                                                                                                                                                                                            ,,Euphorbiaceae                                                                                                                                                                                           ,,,Drypetes glauca,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28312 ' target='_blank'>28312</a>,
ABAM                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies amabilis                                                                                                                                                                                          ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=181824 ' target='_blank'>181824</a>,Pacific silver fir                                
ABCO                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies concolor                                                                                                                                                                                          ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=181826 ' target='_blank'>181826</a>,white fir                                         
ABGR                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies grandis                                                                                                                                                                                           ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183284 ' target='_blank'>183284</a>,grand fir                                         
ABLA2                                                                                                                                                                                                   ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies lasiocarpa                                                                                                                                                                                        ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=181830 ' target='_blank'>181830</a>,subalpine fir                                     
ABPR                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Coniferophyta                                                                                                                                                                                           ,,Pinopsida                                                                                                                                                                                               ,,Pinales                                                                                                                                                                                                 ,,Pinaceae                                                                                                                                                                                                ,,Abies                                                                                                                                                                                                   ,Abies procera                                                                                                                                                                                           ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=181835 ' target='_blank'>181835</a>,noble fir                                         
ABLA                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Caryophyllidae                                                                                                                                                                                          ,Caryophyllales                                                                                                                                                                                          ,,Nyctaginaceae                                                                                                                                                                                           ,,Abronia                                                                                                                                                                                                 ,Abronia latifolia                                                                                                                                                                                       ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19560 ' target='_blank'>19560</a>,coastal sand verbena                              
ACCI                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Rosidae                                                                                                                                                                                                 ,Sapindales                                                                                                                                                                                              ,,Aceraceae                                                                                                                                                                                               ,,Acer                                                                                                                                                                                                    ,Acer circinatum                                                                                                                                                                                         ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28740 ' target='_blank'>28740</a>,vine maple                                        
ACMA                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Rosidae                                                                                                                                                                                                 ,Sapindales                                                                                                                                                                                              ,,Aceraceae                                                                                                                                                                                               ,,Acer                                                                                                                                                                                                    ,Acer macrophyllum                                                                                                                                                                                       ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28748 ' target='_blank'>28748</a>,bigleaf maple                                     
ACMI                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Liliopsida                                                                                                                                                                                              ,Asteridae                                                                                                                                                                                               ,Asterales                                                                                                                                                                                               ,,Asteraceae                                                                                                                                                                                              ,,Achillea                                                                                                                                                                                                ,Achillea millefolium                                                                                                                                                                                    ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=35423 ' target='_blank'>35423</a>,common yarrow                                     
ACRU                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Magnoliidae                                                                                                                                                                                             ,Ranunculales                                                                                                                                                                                            ,,Ranunculaceae                                                                                                                                                                                           ,,Actaea                                                                                                                                                                                                  ,Actaea rubra                                                                                                                                                                                            ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18723 ' target='_blank'>18723</a>,red baneberry                                     
ADBI                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Liliopsida                                                                                                                                                                                              ,Asteridae                                                                                                                                                                                               ,Asterales                                                                                                                                                                                               ,,Asteraceae                                                                                                                                                                                              ,,Adenocaulon                                                                                                                                                                                             ,Adenocaulon bicolor                                                                                                                                                                                     ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36463 ' target='_blank'>36463</a>,American trailplant                               
ADAL                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Polypodiophyta                                                                                                                                                                                          ,,Filicopsida                                                                                                                                                                                             ,,Polypodiales                                                                                                                                                                                            ,,Pteridaceae                                                                                                                                                                                             ,,Adiantum                                                                                                                                                                                                ,Adiantum aleuticum                                                                                                                                                                                      ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=181788 ' target='_blank'>181788</a>,Aleutian maidenhair                               
ALFA                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Liliopsida                                                                                                                                                                                              ,Liliidae                                                                                                                                                                                                ,Liliales                                                                                                                                                                                                ,,Liliaceae                                                                                                                                                                                               ,,Allium                                                                                                                                                                                                  ,Allium falcifolium                                                                                                                                                                                      ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=42703 ' target='_blank'>42703</a>,scytheleaf onion                                  
ALRU                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Hamamelididae                                                                                                                                                                                           ,Fagales                                                                                                                                                                                                 ,,Betulaceae                                                                                                                                                                                              ,,Alnus                                                                                                                                                                                                   ,Alnus rubra                                                                                                                                                                                             ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19474 ' target='_blank'>19474</a>,red alder                                         
AMPS                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Liliopsida                                                                                                                                                                                              ,Asteridae                                                                                                                                                                                               ,Asterales                                                                                                                                                                                               ,,Asteraceae                                                                                                                                                                                              ,,Ambrosia                                                                                                                                                                                                ,Ambrosia psilostachya                                                                                                                                                                                   ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36516 ' target='_blank'>36516</a>,Cuman ragweed                                     
ANMA                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Liliopsida                                                                                                                                                                                              ,Asteridae                                                                                                                                                                                               ,Asterales                                                                                                                                                                                               ,,Asteraceae                                                                                                                                                                                              ,,Anaphalis                                                                                                                                                                                               ,Anaphalis margaritacea                                                                                                                                                                                  ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36529 ' target='_blank'>36529</a>,western pearly everlasting                        
ARCA3                                                                                                                                                                                                   ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Rosidae                                                                                                                                                                                                 ,Apiales                                                                                                                                                                                                 ,,Araliaceae                                                                                                                                                                                              ,,Aralia                                                                                                                                                                                                  ,Aralia californica                                                                                                                                                                                      ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=29373 ' target='_blank'>29373</a>,California spikenard                              
ATFI                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Polypodiophyta                                                                                                                                                                                          ,,Filicopsida                                                                                                                                                                                             ,,Polypodiales                                                                                                                                                                                            ,,Dryopteridaceae                                                                                                                                                                                         ,,Athyrium                                                                                                                                                                                                ,Athyrium filix-femina                                                                                                                                                                                   ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=17412 ' target='_blank'>17412</a>,common ladyfern                                   
BETUL                                                                                                                                                                                                   ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Hamamelididae                                                                                                                                                                                           ,Fagales                                                                                                                                                                                                 ,,Betulaceae                                                                                                                                                                                              ,,Betula                                                                                                                                                                                                  ,,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19478 ' target='_blank'>19478</a>,birch                                             
BEPA                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Magnoliopsida                                                                                                                                                                                           ,Hamamelididae                                                                                                                                                                                           ,Fagales                                                                                                                                                                                                 ,,Betulaceae                                                                                                                                                                                              ,,Betula                                                                                                                                                                                                  ,Betula papyrifera                                                                                                                                                                                       ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19489 ' target='_blank'>19489</a>,paper birch                                       
BLSP                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Polypodiophyta                                                                                                                                                                                          ,,Filicopsida                                                                                                                                                                                             ,,Polypodiales                                                                                                                                                                                            ,,Blechnaceae                                                                                                                                                                                             ,,Blechnum                                                                                                                                                                                                ,Blechnum spicant                                                                                                                                                                                        ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=17865 ' target='_blank'>17865</a>,deer fern                                         
BRIN                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Liliopsida                                                                                                                                                                                              ,Commelinidae                                                                                                                                                                                            ,Cyperales                                                                                                                                                                                               ,,Poaceae                                                                                                                                                                                                 ,,Bromus                                                                                                                                                                                                  ,Bromus inermis                                                                                                                                                                                          ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=40502 ' target='_blank'>40502</a>,smooth brome                                      
CACA                                                                                                                                                                                                    ,Plantae                                                                                                                                                                                                 ,Magnoliophyta                                                                                                                                                                                           ,,Liliopsida                                                                                                                                                                                              ,Commelinidae                                                                                                                                                                                            ,Cyperales                                                                                                                                                                                               ,,Poaceae                                                                                                                                                                                                 ,,Calamagrostis                                                                                                                                                                                           ,Calamagrostis canadensis                                                                                                                                                                                ,<a href='http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=40544 ' target='_blank'>40544</a>,bluejoint                                         
